"Character","Move","onBlock","plnCmd","airmove","followUp","projectile","moveType","health","stun","vgauge1","vgauge2","fDash","bDash","fWalk","bWalk","throwHurt","throwRange","Damage","Stun"
"Abigail","Stand LP",3,"LP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,40,70
"Abigail","Stand MP",5,"MP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,70,100
"Abigail","Stand HP",-3,"HP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90,150
"Abigail","Stand LK",3,"LK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,50,70
"Abigail","Stand MK",0,"MK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,80,100
"Abigail","Stand HK",-8,"HK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90,150
"Abigail","Crouch LP",3,"d+LP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,40,70
"Abigail","Crouch MP",-2,"d+MP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,70,100
"Abigail","Crouch HP",-18,"d+HP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90,150
"Abigail","Crouch LK",2,"d+LK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,40,70
"Abigail","Crouch MK",-3,"d+MK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,60,100
"Abigail","Crouch HK",-14,"d+HK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,120,150
"Abigail","Abi Hammer",-8,"f+MP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,70,100
"Abigail","Abi Lift",1,"f+HP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90,150
"Abigail","Abi Blaster",-6,"b+HP","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,90,150
"Abigail","Abi Scissor",-14,"db+HK","False","False","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,100,150
"Abigail","Abi Twist",-9,"b+HP > HP","False","True","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,171,285
"Abigail","Vroom Vroom",3,"st.LP > st.LP","False","True","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,67,133
"Abigail","Bang Bang",3,"cr.LP > cr.LP","False","True","False","normal",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,67,133
"Abigail","Hungabee Parry",-6,"Parry Attack","False","True","False","vskill",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,30,70
"Abigail","Ontario Drop",-2,"f+KKK","False","False","False","alpha",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,60,0
"Abigail","Abigail Junker",-2,"MK+HP","False","True","False","vbreak",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,60,0
"Abigail","LP Abigail Punch",-12,"qcf+LP","False","False","False","special",1100,1050,900,900,25,25,0.032,0.025,0.4,0.9,120,150
