Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,3,LP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Stand MP,0,MP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,70,100
Stand HP,-3,HP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Stand LK,1,LK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Stand MK,2,MK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Stand HK,3,HK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Crouch LP,3,d+LP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,30,70
Crouch MP,2,d+MP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Crouch HP,-5,d+HP,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,80,150
Crouch LK,1,d+LK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,20,70
Crouch MK,-2,d+MK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,100
Crouch HK,-14,d+HK,False,False,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,100,150
Hard Lead In,-8,MK > MP,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,96,172
Hard KKB,-17,MK > MP > MP+MK (VS1),False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,96,172
OTB,-36,MK > MP > MP+MK (VS2),False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,96,172
Hard Smasher,-8,MK > MP > MP+MK (VS1) > P,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,144,268
Hard Pressure,-8,MK > MP > MP+MK (VS1) > K,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,144,268
Under Impact 1,-7,LK > MK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,66,133
Under Impact 2,-8,LK > MK > HK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,122,213
Stomping Combo,-7,d+MK > d+MK,False,True,False,normal,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,96,172
KKB > Buffalo Swing,-4,MP+MK (VS1) > P,False,True,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,50,100
KKB > Buffalo Pressure,-7,MP+MK (VS1) > K,False,True,False,special,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,50,100
Buffalo Headbutt,-2,f+PPP,False,False,False,alpha,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,0
Buffalo Breaker,-2,MK+HP,False,True,False,vbreak,1025,1050,900,600,17,24,0.048,0.03,0.35,0.85,60,0
