Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,30,70
Stand MP,0,MP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,60,100
Stand HP,-6,HP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
Stand LK,3,LK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,30,70
Stand MK,2,MK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,30*30 (60),50*50 (100)
Stand HK,-4,HK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
Crouch LP,2,d+LP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,30,70
Crouch MP,-3,d+MP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,60,100
Crouch HP,-3,d+HP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,90,150
Crouch LK,1,d+LK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,20,70
Crouch MK,-1,d+MK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,50,100
Crouch HK,-12,d+HK,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,100,150
Rock Crusher,-7,f+MP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,35*35 (70),50*50 (100)
Rock Crusher (hold),-2,f+MP (hold),False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,40*50 (90),60*60 (120)
Amazon River Run,-14,df+HP,False,False,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
Raging Bash 1st,-19,MK > HK,False,True,False,normal,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,30*30*54 (114),50*50*63 (163)
Wild Lift,-8,MP+MK (VS1) > P,False,True,True,vskill,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,60,100
Shout of Earth lvl 1,-4,MP+MK (VS2),False,False,False,vskill,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,100
Shout of Earth lvl 2 (hold),4,MP+MK (VS2) (hold),False,False,False,vskill,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,100,150
Shout of Earth lvl 2 (release),4,MP+MK (VS2) (release),False,False,False,vskill,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,100,150
Anaconda's Maw,-2,MK+HP,False,True,False,vbreak,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,60,0
LP Rolling Attack,-21,"b,f+LP",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,100,150
MP Rolling Attack,-21,"b,f+MP",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,110,150
HP Rolling Attack,-21,"b,f+HP",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,120,150
EX Rolling Attack,-18,"b,f+PP",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,100,150
LK Back Step Rolling,3(7),"b,f+LK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
MK Back Step Rolling,3(7),"b,f+MK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
HK Back Step Rolling,3(7),"b,f+HK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
EX Back Step Rolling,11(15),"b,f+KK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,50*50 (100),75*75 (150)
LK Vertical Rolling,-36,"d,u+LK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,120,150
MK Vertical Rolling,-36,"d,u+MK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,120,150
HK Vertical Rolling,-34,"d,u+HK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,120,150
EX Vertical Rolling,-30,"d,u+KK",True,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,50x3 (150),100*50x2 (200)
Electric Thunder,4,P (mash),False,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,80,150
EX Electric Thunder,6,PP (mash),False,False,False,special,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,120,200
Dynamic Rolling,-37,"qcf,qcf+P",False,False,False,super,1025,1050,600,900,16,24,0.043,0.032,0.25,0.8,340,0
