Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,3,LP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,30,70
Stand MP,3,MP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,60,100
Stand HP,-3,HP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,80,150
Stand LK,1,LK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,40,70
Stand MK,-2,MK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,60,100
Stand HK,-5,HK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,50*40 (80),75*75 (100)
Crouch LP,2,d+LP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,30,70
Crouch MP,2,d+MP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,60,100
Crouch HP,-3,d+HP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,90(80),150(100)
Crouch LK,1,d+LK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,20,70
Crouch MK,-2,d+MK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,60,100
Crouch HK,-14,d+HK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,100,150
Wild President,-4,f+HP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,90,150
Strong President,-5(-6),b+HP,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,40*40 (80),50*50 (100)
Crash President,-7,f+HK,False,False,False,normal,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,90,150
G Barrier,-17,MP+MK (VS1),False,False,False,vskill,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,50,100
G Elimination,-2,MK+HP,False,True,False,vbreak,1025,1050,900,600,19,25,0.0377,0.03,0.25,0.85,60,0
