Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,30,70
Stand MP,2,MP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Stand HP,-3,HP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,80,150
Stand LK,-1,LK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,30,70
Stand MK,-2,MK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Stand HK,-4,HK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,80,150
Crouch LP,2,d+LP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,30,70
Crouch MP,2,d+MP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Crouch HP,-9,d+HP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,90,150
Crouch LK,1,d+LK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,20,70
Crouch MK,-4,d+MK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,50,100
Crouch HK,-12,d+HK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,90,150
Thunder Kick,-7,f+HK (hold),False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,80,150
Inazuma Kick,-7,b+MK,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Chin Buster,-2,b+MP,False,False,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,50,80
Chin Buster 2nd,-13,b+MP > HP,False,True,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,50*45 (95),80*72 (152)
Lion Breaker,-6,MK > HK,False,True,False,normal,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60*45 (105),100*90 (190)
Quick Step Kick,-6,MP+MK (VS1) (hold),False,False,False,vskill,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,50,100
Ryusenkyaku,-2,MP+MK (VS2),False,False,False,vskill,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Ryusenkyaku (hold),3,MP+MK (VS2) (hold),False,False,False,vskill,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,90,120
Ryusenkyaku (release),-2,MP+MK (VS2) (release),False,False,False,vskill,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
Shinryuken lvl 1,-51,HP+HK (VT2),False,False,False,vtrigger,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,30*10x4*40 (110),150
Senpu Nataotoshi,-2,f+KKK,False,False,False,alpha,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,40,0
Shadow Thunder-Kick,-2,MK+HP,False,True,False,vbreak,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,0
LP Hadoken,-6,qcf+LP,False,False,True,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
MP Hadoken,-6,qcf+MP,False,False,True,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
HP Hadoken,-6,qcf+HP,False,False,True,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,60,100
EX Hadoken,1,qcf+PP,False,False,True,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,40*50 (90),150
LP Shoryuken,-25,"f,d,df+LP",False,False,False,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,110(70),150(100)
MP Shoryuken,-30,"f,d,df+MP",False,False,False,special,1025,1050,900,600,15,24,0.05,0.035,0.25,0.8,90*40 (130),75*75 (150)
