Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30,70
Stand MP,3,MP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,50,100
Stand HP,-2,HP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,80,150
Stand LK,1,LK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,40,70
Stand MK,-2,MK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,60,100
Stand HK,-4,HK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,90,150
Crouch LP,2,d+LP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30,70
Crouch MP,2,d+MP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,50,100
Crouch HP,-6,d+HP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,70,150
Crouch LK,0,d+LK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,20,70
Crouch MK,-1,d+MK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,50,100
Crouch HK,-10,d+HK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,90,150
Knee Slide,-7,df+LK,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30,70
Elbow Crush,-7,f+HP,False,False,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,80,150
Quick Side-Kick,-6,LP > LK,False,True,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30*27,70*45
Spin Drive,-8,LP > LK > MK,False,True,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30*27*20x2 (97),70*45*32x2 (179)
Street-Style Set,-15,LP > LK > MK > HK,False,True,False,normal,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,30*27*20x2*42 (139),70*45*32x2*84 (263)
German Suplex,KD,LP+LK,False,False,False,throw,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,120,150
Back-Carry Throw,KD,b+LP+LK,False,False,False,throw,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,150,200
Tap-Kick,-8,MP+MK (VS1),False,False,False,vskill,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,10x3*30 (60),10x2*20*60 (100)
Arrest Heel,-4,MP+MK (VS2),False,False,False,vskill,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,90,120
Hammer Knuckle,-2,f+PPP,False,False,False,alpha,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,60,0
Peacekeeper,-2,MK+HP,False,True,False,vbreak,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,60,0
Rough Chase,-6,qcf+P > P,False,True,False,special,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,70,80
EX Rough Chase,-8,qcf+PP > P,False,True,False,special,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,80,120
Tornado Spinner,-35,qcf+P > K,False,True,False,special,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,70*70,50*100
EX Tornado Spinner,-30,qcf+PP > K,False,True,False,special,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,40x2*80 (160),50x2*100 (200)
Cyclone Spinner,-8,qcf+P > MP+MK (VS1),False,True,False,special,975,1000,900,600,16,21,0.05,0.04,0.25,0.8,60x2,50*100
