Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,1,LP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,30,70
Stand MP,0,MP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,100
Stand HP,-2,HP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,150
Stand LK,2,LK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,40,70
Stand MK,2,MK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,100
Stand HK,-4,HK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,90,150
Crouch LP,1,d+LP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,20,70
Crouch MP,2,d+MP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,100
Crouch HP,-4,d+HP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,150
Crouch LK,1,d+LK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,20,70
Crouch MK,-4,d+MK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,50,100
Crouch HK,-10,d+HK,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,90,150
Opening Dagger,-7,df+HP,False,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,100
Road of the Sun (air),-2,Forward Jump > d+HK,True,False,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,100
Sacrificial Altar,-8,MK > HK,False,True,False,normal,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,114,190
Sacrificial Altar Follow-Up,-9,MK > HK > MP+MK (VS1),False,True,False,vskill,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,146,230
Messenger of Chaos,-5,MK > HK > MP+MK (VS2),False,True,True,vskill,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,162,254
Soul Sealer,35,LP+LK,False,False,False,throw,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,120,120
Soul Discriminator,35,b+LP+LK,False,False,False,throw,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,110,120
Culminated Power,-1,n or b or f+MP+MK (VS1),False,True,False,vskill,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,50,100
Crawling Beast,-5,MP+MK (VS2),False,False,True,vskill,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,80
The Calling,-2,f+PPP,False,False,False,alpha,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,0
Midnight Howl,-2,MK+HP,False,True,False,vbreak,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,0
LP The Disc's Guidance,-6,"b,f+LP",True,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,150
MP The Disc's Guidance,-6,"b,f+MP",True,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,100,150
HP The Disc's Guidance,-6,"b,f+HP",True,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,120,150
EX The Disc's Guidance,-13,"b,f+PP",False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,150,200
LP Raging Light,-24,"f,d,df+LP",False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,100,150
MP Raging Light,-28,"f,d,df+MP",False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,110,150
HP Raging Light,-33,"f,d,df+HP",False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,120,150
EX Raging Light,-38,"f,d,df+PP",False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,150,200
LK Valiant Rebellion,-4,qcf+LK,False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,50,100
MK Valiant Rebellion,-2,qcf+MK,False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,60,100
HK Valiant Rebellion,0,qcf+HK,False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,80,150
EX Valiant Rebellion,2,qcf+KK,False,False,False,special,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,120,200
Ceremony of Honor,-25,"qcf,qcf+P",False,False,False,super,1025,1050,900,900,17,22,0.047,0.032,0.324,0.814,330,0
