Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,20,70
Stand MP,3,MP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,100
Stand HP,-6,HP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
Stand LK,1,LK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,40,70
Stand MK,-4,MK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,70,100
Stand HK,-4,HK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
Crouch LP,3,d+LP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,30,70
Crouch MP,4,d+MP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60(70),100
Crouch HP,-11,d+HP,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
Crouch LK,-2,d+LK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,20,70
Crouch MK,-2,d+MK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,100
Crouch HK,-14,d+HK,False,False,False,normal,975,975,600,600,18,23,0.041,0.032,0.25,0.85,90,150
Slap Shot,KD,LP+LK,False,False,False,throw,975,975,600,600,18,23,0.041,0.032,0.25,0.85,130,150
Frankensteiner,KD,b+LP+LK,False,False,False,throw,975,975,600,600,18,23,0.041,0.032,0.25,0.85,140,200
Perfume Swing,KD,MP+MK (VS1),True,False,False,vskill,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,80
Cartwheel (attack),-12,MP+MK (VS2) (hold),False,True,False,vskill,975,975,600,600,18,23,0.041,0.032,0.25,0.85,20*40 (60),20*80 (100)
Power Cord,-2,f+PPP,False,False,False,alpha,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,0
Danger Zone,-2,MK+HP,False,True,False,vbreak,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,0
LP Avant Line,-7,qcf+LP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60,50*50 (100)
MP Avant Line,-8(-21),qcf+MP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,40*40 (80),80*70 (150)
HP Avant Line,-17(-23),qcf+HP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,30*40*40 (110),50x3 (150)
EX Avant Line,-2,qcf+PP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,15x6*30 (120),150
LP Heart Raid Release,-6,qcb+LP > Release,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
MP Heart Raid Release,-6,qcb+MP > Release,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,90,150
LPMP EX Heart Raid,-2,qcb+LPMP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,60*60 (120),50*50 (100)
LPHP EX Heart Raid,1,qcb+LPHP,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,70*60 (130),100*100 (200)
LK Shocking Heel,-12,qcf+LK,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
MK Shocking Heel,-12,qcf+MK,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,90,150
HK Shocking Heel,-12,qcf+HK,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,110,150
EX Shocking Heel,-17,qcf+KK,False,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,150
LK Love Me Tender,-4,qcb+LK,True,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,70,120
MK Love Me Tender,-4,qcb+MK,True,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,80,120
HK Love Me Tender,-2,qcb+HK,True,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,100,150
EX Love Me Tender,-4,qcb+KK,True,False,False,special,975,975,600,600,18,23,0.041,0.032,0.25,0.85,120,200
Love Hurricane,-37,"qcf,qcf+P",False,False,False,super,975,975,600,600,18,23,0.041,0.032,0.25,0.85,340,0
