Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,30,70
Stand MP,-2,MP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,60,100
Stand HP,-6,HP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,90,150
Stand LK,1,LK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,30,70
Stand MK,-2,MK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,60,100
Stand HK,-4,HK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,90,150
Stand HK (hold),2,HK (hold),False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,100,150
Crouch LP,1,d+LP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,20,70
Crouch MP,-1,d+MP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,60,100
Crouch HP,-6,d+HP,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,80,150
Crouch LK,1,d+LK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,20,70
Crouch MK,-2,d+MK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,60,100
Crouch HK,-12,d+HK,False,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,90,150
Jump LP,3~6,u+LP,True,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,40,70
Jump MP,9,u+MP,True,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,60,100
Jump HP,6~12,u+HP,True,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,90,150
Jump LK,2~6,u+LK,True,False,False,normal,950,1000,600,900,18,24,0.042,0.03,0.25,0.85,40,70
