Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,3,LP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,30,70
Stand MP,-2,MP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,50,100
Stand HP,-4,HP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,80,150
Stand LK,3,LK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,40,70
Stand MK,-2,MK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,70,100
Stand HK,-6(-10),HK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,40*40 (80),70*80 (150)
Crouch LP,2,d+LP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,30,70
Crouch MP,2,d+MP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,60,100
Crouch HP,-10,d+HP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,80,150
Crouch LK,2,d+LK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,20,70
Crouch MK,-2,d+MK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,60,100
Crouch HK,-4,d+HK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,90,150
Step Shoot,-2,f+MP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,60,100
Hazard Blow,-4,f+HP,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,90,150
Head Hunter,-7,f+HK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,80,150
Turning Slicer,-2,df+HK,False,False,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,90,150
Twin Claw,-12,MP > HP,False,True,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,50*54 (104),100*90 (190)
Shoot Slicer,-8,f+MP > HK,False,True,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,60*54 (114),100*72 (172)
Fatal Rush,-12,f+MP > HK > HP,False,True,False,normal,900,900,600,600,16,23,0.047,0.032,0.25,0.8,60*54*56 (170),100*72*80 (252)
Tanden Maneuver,-3,HP+HK (VT2 Activation),False,False,True,vtrigger,900,900,600,600,16,23,0.047,0.032,0.25,0.8,25,30
