Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP (no claw),3,LP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30,70
Stand MP (no claw),1,MP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,100
Stand HP (no claw),-1,HP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,90,150
Stand LP (claw),1,LP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30,70
Stand MP (claw),2,MP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,70,100
Stand HP (claw),-2,HP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,150
Stand LK,2,LK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30,70
Stand MK,2,MK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,100
Stand HK,-1,HK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,150
Crouch LP (no claw),2,d+LP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30,70
Crouch MP (no claw),2,d+MP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,100
Crouch HP (no claw),3,d+HP (no claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,150
Crouch LP (claw),2,d+LP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30,70
Crouch MP (claw),1,d+MP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,100
Crouch HP (claw),3,d+HP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,150
Crouch LK,0,d+LK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,20,70
Crouch MK,2,d+MK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,50,100
Crouch HK,-13,d+HK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,90,150
Mercury Shard,-7,f+MK,False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,100
