Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,2,LP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Stand MP,1,MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Stand HP,-5,HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,150
Stand LK,1,LK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Stand MK,-4,MK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Stand HK,-2,HK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,120
Crouch LP,2,d+LP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,30,70
Crouch MP,3,d+MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Crouch HP,3,d+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,150
Crouch LK,1,d+LK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,20,70
Crouch MK,-2,d+MK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50,100
Crouch HK,-15,d+HK,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,150
Tenmakujinkyaku,-2,Forward Jump > d+MK ,True,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Zugaihasatsu,-7,f+MP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Sekiseiken,-2,f+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Tenha,-10,b+HP,False,False,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,200
Kikokurenzan,0,HK > HK,False,True,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,125,183
Kongoken,-12,HP > HP,False,True,False,normal,900,900,900,600,16,21,0.052,0.036,0.25,0.8,134,222
Goshoha,35,LP+LK,False,False,False,throw,900,900,900,600,16,21,0.052,0.036,0.25,0.8,130,170
Shuretsuzan,35,b+LP+LK,False,False,False,throw,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,170
Rakan Gosho,-10,MP+MK (VS1) > P,False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Rakan Gokyaku,-13,MP+MK (VS1) > K,False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
Kiai,-13,MP+MK (VS2),False,True,False,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,80
Sekia Goshoha (V-Skill 2),-6,MP+MK (VS2) > hcb+P,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Sekia Goshoha EX (V-Skill 2),8,MP+MK (VS2) > hcb+PP,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
Sekia Goshoha Just Frame (V-Skill 2),-4,MP+MK (VS2) > hcb+P,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,100
Sekia Goshoha EX Just Frame (V-Skill 2),11,MP+MK (VS2) > hcb+PP,False,True,True,vskill,900,900,900,600,16,21,0.052,0.036,0.25,0.8,110,150
Gosenkyaku,-2,f+KKK,False,False,False,alpha,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,0
Rasen Shuto Uchi,-2,MK+HP,False,True,False,vbreak,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,0
Taunt Stomp,22,PPP+KKK,False,False,False,taunt,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
Neutral Stomp,0,Neutral,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,90,150
LP Gohadoken,-6,qcf+LP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
MP Gohadoken,-6,qcf+MP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
HP Gohadoken,-6,qcf+HP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
EX Gohadoken,1,qcf+PP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
LP Sekia Goshoha,-6,hcb+LP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,120
MP Sekia Goshoha,-4,hcb+MP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,80,120
HP Sekia Goshoha,-4,hcb+HP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
EX Sekia Goshoha,8,hcb+PP,False,False,True,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
LP Goshoryuken,-28,"f,d,df+LP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
MP Goshoryuken,-30,"f,d,df+MP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,150
HP Goshoryuken,-33,"f,d,df+HP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,140,150
EX Goshoryuken,-44,"f,d,df+PP",False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,160,200
LK Tatsumaki Zankukyaku,-11,qcb+LK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,50,80
MK Tatsumaki Zankukyaku,-8,qcb+MK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,120
HK Tatsumaki Zankukyaku,-39,qcb+HK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,200
EX Tatsumaki Zankukyaku,-19,qcb+KK,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,150
LK Air Tatsumaki Zankukyaku,-4,qcb+LK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
MK Air Tatsumaki Zankukyaku,-4,qcb+MK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
HK Air Tatsumaki Zankukyaku,-4,qcb+HK(air),True,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
LK Hyakki Gozan,-2,hcf+LK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
MK Hyakki Gozan,-2,hcf+MK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
HK Hyakki Gozan,-2,hcf+HK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
EX Hyakki Gozan,-2,hcf+KK > no input,False,False,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,150
LK Hyakkishu > Hyakki Gosho,1,hcf+LK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
MK Hyakkishu > Hyakki Gosho,1,hcf+MK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
HK Hyakkishu > Hyakki Gosho,1,hcf+HK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,100,150
EX Hyakkishu > Hyakki Gosho,3,hcf+KK > P,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,120,200
LK Hyakkishu > Hyakki Gojin,-2,hcf+LK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
MK Hyakkishu > Hyakki Gojin,-2,hcf+MK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
HK Hyakkishu > Hyakki Gojin,-4,hcf+HK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,60,100
EX Hyakkishu > Hyakki Gojin,-2,hcf+KK > K,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,70,100
LK Hyakkishu > Hyakki Gosai,35,hcf+LK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
MK Hyakkishu > Hyakki Gosai,35,hcf+MK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
HK Hyakkishu > Hyakki Gosai,35,hcf+HK > LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,150,200
EX Hyakkishu > Hyakki Gosai,35,hcf+KK> LPLK,True,True,False,special,900,900,900,600,16,21,0.052,0.036,0.25,0.8,180,250
Sekia Kuretsuha,-30,"qcf,qcf+P",False,False,True,super,900,900,900,600,16,21,0.052,0.036,0.25,0.8,320,0
