Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,1,LP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,30,70
Stand MP,2,MP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
Stand HP,-5,HP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,80,150
Stand LK,-2,LK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,30,70
Stand MK,2,MK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
Stand HK,-2,HK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,90,150
Crouch LP,2,d+LP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,30,70
Crouch MP,-1,d+MP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
Crouch HP,-3,d+HP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,90,150
Crouch LK,1,d+LK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,20,70
Crouch MK,-2,d+MK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
Crouch HK,-12,d+HK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,100,150
Kobekudaki,-2,f+MK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,70,100
Bonshogeri,-3,f+HK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,90,150
Sazan,-10,df+MK,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,50,100
Agemen,-1,b+MP,False,False,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,70
Shinten 1,-8,LP > MP,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,66,115
Shinten 2,-9,LP > MP > HP,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,106,171
Yagurakuzushi,-2,st.LP > st.MP > st.LK,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,90,155
Gogasha 1,-12,MK > cr.HK,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,114,154
Shakunage,-5,d+MP > f+HK,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,123,190
Sasanaki,-2,MP > f+MK,False,True,False,normal,925,950,900,600,16,21,0.052,0.034,0.25,0.8,70,100
Tenrai,-7,MP+MK (VS1),False,False,False,vskill,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
Tenrai Full,-2,Hold MP+MK (VS1),False,False,False,vskill,925,950,900,600,16,21,0.052,0.034,0.25,0.8,80,150
Makibishi,-3,MP+MK (VS2),False,False,True,vskill,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,0
Makibishi - Single,-4,MP+MK (VS2) > P,False,False,True,vskill,925,950,900,600,16,21,0.052,0.034,0.25,0.8,20,0
Rokushaku Horokudama,2,b or n or f or u + HP+HK (VT1),False,False,True,vtrigger,925,950,900,600,16,21,0.052,0.034,0.25,0.8,160,80
Rokushaku Horokudama 2nd,2,b or n or f or u + HP+HK (VT1) (2nd Bomb),False,False,True,vtrigger,925,950,900,600,16,21,0.052,0.034,0.25,0.8,160,80
Fuma Shuriken (Haku),-4,HP+HK (VT2),False,False,False,vtrigger,925,950,900,600,16,21,0.052,0.034,0.25,0.8,80,160
Fuma Shuriken (Kokufu),-6,b+HP+HK (VT2),False,False,False,vtrigger,925,950,900,600,16,21,0.052,0.034,0.25,0.8,100,160
Chizuri Hayabusa,-2,MK+HP,False,True,False,vbreak,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,0
LK Kazekiri,-27,"f,d,df+LK",False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,150
MK Kazekiri,-27,"f,d,df+MK",False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,150
HK Kazekiri,-27,"f,d,df+HK",False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,150
EX Kazekiri,-31,"f,d,df+KK",False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,140,200
LP Raida,-12,hcb+LP,False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,100,200
MP Raida,-12,hcb+MP,False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,110,200
HP Raida,-12,hcb+HP,False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,200
EX Raida,-11,hcb+PP,False,False,False,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,150,200
LP Kunai,-2,qcf+LP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
MP Kunai,-2,qcf+MP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
HP Kunai,-2,qcf+HP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
EX Kunai,18,qcf+PP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,60,100
LP Airborne Kunai,-8,qcf+LP (air),True,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
MP Airborne Kunai,-8,qcf+MP (air),True,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
HP Airborne Kunai,-7,qcf+HP (air),True,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,40,50
LP Kunai Ikkinage,-1,Hold + Release LP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,120
MP Kunai Ikkinage,-1,Hold + Release MP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,120
HP Kunai Ikkinage,-1,Hold + Release HP,False,False,True,special,925,950,900,600,16,21,0.052,0.034,0.25,0.8,120,120
Kachofugetsu,-20,"qcf,qcf+K",False,False,False,super,925,950,900,600,16,21,0.052,0.034,0.25,0.8,340,356
