Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Stand LP,3,LP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,30,70
Stand MP,3,MP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,100
Stand HP,-3,HP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,150
Stand LK,1,LK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,30,70
Stand MK,-4,MK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,100
Stand HK,-4,HK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,90,150
Crouch LP,2,d+LP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,30,70
Crouch MP,-2,d+MP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,100
Crouch HP,-2,d+HP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,150
Crouch LK,0,d+LK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,20,70
Crouch MK,-3,d+MK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,50,100
Crouch HK,-12,d+HK,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,90,150
Flap Spin,-2,f+MP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,70,100
Beak Assault,-7,f+HP,False,False,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,150
Spinning Mixer (run),-2,f+P during run,False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,83,89
Spinning Mixer (lvl 2) (run),-4,f+P during run (lvl 2),False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,119,181
Spinning Mixer (lvl 3) (run),-11,f+P during run (lvl 3),False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,225
Spinning Mixer (run) (wind),0,f+P during run (wind),False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,167,220
Eagle Spike (run),-21,f+K during run,False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,200
